name,minPlanTime,maxPlanTime,shortConTimeDriver,shortConTimeVehicle,maxDrivingTime,maxWorkingTime,nbCities,nbTrips,nbNodes,nbArcs,maxPercentCombine,maxNbDriverAvailable,maxNbVehicleAvailable,lb,ub,gap,fixedCost,idleTimeCost,changeOverCost,nbDrivers,nbVehicles,elapsedTime(s),
nbCities:5; nbDepots:2; size:180 180;nbTrips:60;nbCombinedTrips0;planningHorizon:0-4320;maxDriving:540;maxWorking:720,15,20,20,720,540,720,5,60,66,453,0,16,16,544910,544910,0.00%,500000,19480,0,0,5,0.309,
nbCities:5; nbDepots:2; size:180 180;nbTrips:60;nbCombinedTrips0;planningHorizon:0-4320;maxDriving:540;maxWorking:720,15,20,20,720,540,720,5,60,66,453,0.1,16,16,544910,544910,0.00%,500000,19480,0,0,5,0.31,
nbCities:5; nbDepots:2; size:180 180;nbTrips:150;nbCombinedTrips0;planningHorizon:0-4320;maxDriving:540;maxWorking:720,15,20,20,720,540,720,5,150,156,2436,0,40,40,995280,995280,0.00%,900000,38900,0,0,9,12.135,
nbCities:5; nbDepots:2; size:180 180;nbTrips:150;nbCombinedTrips1;planningHorizon:0-4320;maxDriving:540;maxWorking:720,15,20,20,720,540,720,5,150,156,2434,0.1,41,41,0,2.15E+09,100.00%,0,0,0,0,0,0.343,
nbCities:5; nbDepots:2; size:180 180;nbTrips:300;nbCombinedTrips0;planningHorizon:0-4320;maxDriving:540;maxWorking:720,15,20,20,720,540,720,5,300,306,9375,0,81,81,1637490,1637490,0.00%,1400000,146160,0,0,14,697.755,
nbCities:5; nbDepots:2; size:180 180;nbTrips:300;nbCombinedTrips2;planningHorizon:0-4320;maxDriving:540;maxWorking:720,15,20,20,720,540,720,5,300,306,9307,0.1,83,83,0,2.15E+09,100.00%,0,0,0,0,0,12.325,
nbCities:10; nbDepots:3; size:240 240;nbTrips:50;nbCombinedTrips0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,10,50,58,206,0,18,18,1322970,1322970,0.00%,1300000,22940,0,0,13,0.096,
nbCities:10; nbDepots:3; size:240 240;nbTrips:50;nbCombinedTrips1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,10,50,58,193,0.1,18,18,1523150,1523150,0.00%,1500000,23120,0,0,15,0.094,
nbCities:10; nbDepots:3; size:240 240;nbTrips:100;nbCombinedTrips0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,10,100,108,567,0,35,35,0,2.15E+09,100.00%,0,0,0,0,0,0.015,
nbCities:10; nbDepots:3; size:240 240;nbTrips:100;nbCombinedTrips1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,10,100,108,533,0.1,34,34,0,2.15E+09,100.00%,0,0,0,0,0,0.033,
nbCities:10; nbDepots:3; size:240 240;nbTrips:100;nbCombinedTrips0;planningHorizon:0-2880;maxDriving:540;maxWorking:720,15,20,20,720,540,720,10,100,108,681,0,35,35,1566580,1566580,0.00%,1500000,55400,0,0,15,1.813,
nbCities:10; nbDepots:3; size:240 240;nbTrips:100;nbCombinedTrips0;planningHorizon:0-2880;maxDriving:540;maxWorking:720,15,20,20,720,540,720,10,100,108,681,0.1,35,35,1566580,1566580,0.00%,1500000,55400,0,0,15,1.849,
nbCities:10; nbDepots:3; size:240 240;nbTrips:200;nbCombinedTrips0;planningHorizon:0-2880;maxDriving:540;maxWorking:720,15,20,20,720,540,720,10,200,208,2359,0,72,72,0,2.15E+09,100.00%,0,0,0,0,0,0.062,
nbCities:10; nbDepots:3; size:240 240;nbTrips:200;nbCombinedTrips1;planningHorizon:0-2880;maxDriving:540;maxWorking:720,15,20,20,720,540,720,10,200,208,2374,0.1,72,72,0,2.15E+09,100.00%,0,0,0,0,0,0.109,
